2021-03-26 11:53:05,074  INFO | restartedMain | s.d.spring.web.scanners.ApiListingReferenceScanner     | Scanning for api listing references 
2021-03-26 11:53:05,162  INFO | restartedMain | o.s.d.r.config.DeferredRepositoryInitializationListener | Triggering deferred initialization of Spring Data repositories… 
2021-03-26 11:53:07,852  INFO | task-1 | com.zaxxer.hikari.HikariDataSource                     | HikariPool-3 - Start completed. 
2021-03-26 11:53:07,853  INFO | task-1 | org.hibernate.dialect.Dialect                          | HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect 
2021-03-26 11:53:08,690  INFO | task-1 | o.h.e.t.jta.platform.internal.JtaPlatformInitiator     | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2021-03-26 11:53:08,690  INFO | task-1 | o.s.orm.jpa.LocalContainerEntityManagerFactoryBean     | Initialized JPA EntityManagerFactory for persistence unit 'default' 
2021-03-26 11:53:08,792  INFO | restartedMain | o.s.d.r.config.DeferredRepositoryInitializationListener | Spring Data repositories initialized! 
2021-03-26 11:53:08,796  INFO | restartedMain | n.sijbers.csia.reservationApp.ReservationAppApplication | Started ReservationAppApplication in 5.044 seconds (JVM running for 196.569) 
2021-03-26 11:53:08,798  INFO | restartedMain | o.s.b.d.a.ConditionEvaluationDeltaLoggingListener      | Condition evaluation unchanged 
2021-03-26 11:53:50,840  INFO | Thread-13 | o.s.orm.jpa.LocalContainerEntityManagerFactoryBean     | Closing JPA EntityManagerFactory for persistence unit 'default' 
2021-03-26 11:53:50,843  INFO | Thread-13 | o.s.scheduling.concurrent.ThreadPoolTaskExecutor       | Shutting down ExecutorService 'applicationTaskExecutor' 
2021-03-26 11:53:50,843  INFO | Thread-13 | com.zaxxer.hikari.HikariDataSource                     | HikariPool-3 - Shutdown initiated... 
2021-03-26 11:53:50,847  INFO | Thread-13 | com.zaxxer.hikari.HikariDataSource                     | HikariPool-3 - Shutdown completed. 
2021-03-26 11:53:50,983  INFO | restartedMain | n.sijbers.csia.reservationApp.ReservationAppApplication | Starting ReservationAppApplication on franks-MacBook-Pro.local with PID 46344 (/Users/frank/Dropbox/dev/tom/reservationappBackend/target/classes started by frank in /Users/frank/Dropbox/dev/tom/reservationappBackend) 
2021-03-26 11:53:50,984  INFO | restartedMain | n.sijbers.csia.reservationApp.ReservationAppApplication | The following profiles are active: dev 
2021-03-26 11:53:51,391  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Bootstrapping Spring Data JPA repositories in DEFERRED mode. 
2021-03-26 11:53:51,406  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 14ms. Found 2 JPA repository interfaces. 
2021-03-26 11:53:51,486  INFO | restartedMain | o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@364d2f80' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2021-03-26 11:53:51,491  INFO | restartedMain | o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2021-03-26 11:53:51,604  INFO | restartedMain | o.s.boot.web.embedded.tomcat.TomcatWebServer           | Tomcat initialized with port(s): 9090 (http) 
2021-03-26 11:53:51,605  INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol             | Initializing ProtocolHandler ["http-nio-9090"] 
2021-03-26 11:53:51,606  INFO | restartedMain | org.apache.catalina.core.StandardService               | Starting service [Tomcat] 
2021-03-26 11:53:51,606  INFO | restartedMain | org.apache.catalina.core.StandardEngine                | Starting Servlet engine: [Apache Tomcat/9.0.37] 
2021-03-26 11:53:51,640  INFO | restartedMain | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]      | Initializing Spring embedded WebApplicationContext 
2021-03-26 11:53:51,643  INFO | restartedMain | o.s.b.w.s.context.ServletWebServerApplicationContext   | Root WebApplicationContext: initialization completed in 655 ms 
2021-03-26 11:53:51,729  WARN | restartedMain | o.s.b.a.o.jpa.JpaBaseConfiguration$JpaWebConfiguration | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2021-03-26 11:53:51,782  INFO | restartedMain | o.s.scheduling.concurrent.ThreadPoolTaskExecutor       | Initializing ExecutorService 'applicationTaskExecutor' 
2021-03-26 11:53:51,792  INFO | task-1 | org.hibernate.jpa.internal.util.LogHelper              | HHH000204: Processing PersistenceUnitInfo [name: default] 
2021-03-26 11:53:51,807  INFO | task-1 | com.zaxxer.hikari.HikariDataSource                     | HikariPool-4 - Starting... 
2021-03-26 11:53:52,111  INFO | restartedMain | o.s.security.web.DefaultSecurityFilterChain            | Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@67535381, org.springframework.security.web.context.SecurityContextPersistenceFilter@255f19f, org.springframework.security.web.header.HeaderWriterFilter@233b9b9e, org.keycloak.adapters.springsecurity.filter.KeycloakPreAuthActionsFilter@2b74642a, org.keycloak.adapters.springsecurity.filter.KeycloakAuthenticationProcessingFilter@7f89f1d7, org.springframework.security.web.authentication.logout.LogoutFilter@4edaf5f7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@63bd9d12, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1ca50d90, org.keycloak.adapters.springsecurity.filter.KeycloakSecurityContextRequestFilter@555a7d08, org.keycloak.adapters.springsecurity.filter.KeycloakAuthenticatedActionsFilter@656d293d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7b078a14, org.springframework.security.web.session.SessionManagementFilter@d2e4b43, org.springframework.security.web.access.ExceptionTranslationFilter@42a475a2, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5811aaa8] 
2021-03-26 11:53:52,123  INFO | restartedMain | s.d.s.web.PropertySourcedRequestMappingHandlerMapping  | Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)] 
